Provincia,Partido,Localidad,ADSL,CABLEMODEM,DIAL UP,FIBRA OPTICA,OTROS,SATELITAL,WIRELESS,Total general
SANTA FE,Rosario,El Caramelo,71,0,0,497,0,0,0,568
SANTA FE,Rosario,Fighiera,342,0,0,0,0,0,258,600
SANTA FE,Rosario,Funes,4523,5934,1,2457,0,1,100,13016
SANTA FE,Rosario,General Lagos,400,0,0,1,1,1,140,543
SANTA FE,Rosario,Granadero Baigorria,0,4109,0,8,2,0,676,4795
SANTA FE,Rosario,Ibarlucea,0,692,0,728,0,0,415,1835
SANTA FE,Rosario,Pérez,2894,0,0,114,0,10,6,3024
SANTA FE,Rosario,Piñero (Est. Erasto),0,181,0,1,55,0,0,237
SANTA FE,Rosario,Pueblo Esther,241,0,0,611,0,1,0,853
SANTA FE,Rosario,Pueblo Muñoz (Est. Bernard),0,118,0,0,54,0,0,172
SANTA FE,Rosario,Pueblo Uranga,29,0,0,162,0,0,52,243
SANTA FE,Rosario,Puerto Arroyo Seco,0,0,0,0,25,0,0,25
SANTA FE,Rosario,Rosario,37272,183452,74,104073,218,1,5228,330318
SANTA FE,Rosario,Soldini,116,780,0,0,86,0,0,982
SANTA FE,Rosario,Villa Amelia,172,109,0,2,0,0,2,285
SANTA FE,Rosario,Villa del Plata,0,0,0,231,101,0,0,332
SANTA FE,Rosario,Villa Gobernador Gálvez,6752,17,0,1540,4987,0,35,13331
SANTA FE,Rosario,Zavalla,710,932,0,0,0,0,95,1737
SANTA FE,Rosario,Albarellos,0,0,0,0,0,0,20,20
SANTA FE,Rosario,Coronel Rodolfo S. Domínguez,0,318,0,0,0,0,0,318
SANTA FE,Rosario,Kilómetro 101,0,0,0,0,0,2,1,3
SANTA FE,Rosario,Arbilla,30,0,0,0,0,0,0,30
SANTA FE,Rosario,Monte Flores,8,0,0,0,0,0,0,8
SANTA FE,San Cristóbal,Aguará Grande,0,0,0,0,0,1,2,3
SANTA FE,San Cristóbal,Ambrosetti,0,0,0,0,0,1,84,85
SANTA FE,San Cristóbal,Arrufo,155,166,0,116,0,0,0,437
SANTA FE,San Cristóbal,Balneario La Verde,0,0,0,0,0,1,0,1
SANTA FE,San Cristóbal,Capivara,0,0,0,0,0,1,0,1
SANTA FE,San Cristóbal,Ceres,1060,1939,0,0,0,0,541,3540
SANTA FE,San Cristóbal,Colonia Bossi,56,0,0,136,720,0,3,915
SANTA FE,San Cristóbal,Hersilia,0,199,0,0,0,0,370,569
SANTA FE,San Cristóbal,Huanqueros,0,0,0,0,0,0,34,34
SANTA FE,San Cristóbal,La Cabral,0,0,0,0,1,1,2,4
SANTA FE,San Cristóbal,La Rubia,0,31,0,0,0,0,12,43
